PART #,QUANTITY REQURIED,COLUMBIA AUTOMATIC TAPER, LIST PRICE USD ,,
FA215,4,4-40 x 5/16” Binder Slot,,,
FA228,1,#6 Flat Washer,,,
FA233,1,6-32 Nyloc Nut,,,
FA234,1,6-32 Nyloc Jam Nut,,,
FA238,2,6-32 x 3/16” Fillister Slot,,,
FA240,2,"6-32 x 5/16"" Binder Slot",,,
FA244,1,6-32 x ½” Pan Slot,,,
,,,,,
CTA87R,1,Cover Plate Assembly (Quick Release) Kit, $181.69 ,,
CT6R,2,Removable Cap Sideplate Screw,,,
CT34R,2,Block for Removable Cap,,,
CT87R,1,Engraved Cover Plate Cap,,,
CT87A,1,Bracket Base,,,
CT87S,1,Taper Cap O-Ring (cut),,,
CT88,1,Clutch Release Rod,,,
CT89,1,Release Rod Sleeve,,,
CT90,2,Rod Sleeve Housing,,,
CT91,1,Release Clip Bushing,,,
CT92,1,Release Clip,,,
CT92A,1,Toe Kicker Cable Retainer Clip,,,
CT99,1,Removable Cover Plate Pin,,,
CT99A,1,Grenade Pin O-Ring,,,
CT100,1,Removable Cover Plate Pin Ring,,,
FA215,4,4-40 x 5/16” Binder Slot,,,
FA228,1,#6 Flat Washer,,,
FA233,2,6-32 Nyloc Nut,,,
FA234,1,6-32 Nyloc Jam Nut,,,
FA238,2,6-32 x 3/16” Fillister Slot,,,
FA244,1,6-32 x ½” Pan Slot,,,
,,If converting non quick release taper also comes with:,,,
FA235,2,6-32 x 1/8 Set Screw,,,
AH19,1,1/16 Allen Key,,,
