SKU,MPN,Images,match_type,wt_sku,wt_title
FA365,FA365,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16310/20532/col-fa271_01__22837.1555359279.jpg,name,COLM-FA271,Columbia 10-24 Nyloc Nut (COLM-FA271)
FA366,FA366,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/14900/16926/COL-FA213_01_1__22620.1555359221.jpg,name,COLM-FA213,Columbia 4-40 x 1/4&quot; Binder Slot (Pan Head Screw) (COLM-FA213)
FA374,FA374,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16373/20087/COL-FA295_01__49377.1555359282.jpg,name,COLM-FA295,Columbia -20 x  in. Flat Head Socket Screw (COLM-FA295)
FA377,FA377,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16373/20087/COL-FA295_01__49377.1555359282.jpg,name,COLM-FA295,Columbia -20 x  in. Flat Head Socket Screw (COLM-FA295)
FA S26,FA S26,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/17046/20174/col-fa249_01__03522.1555359310.jpg,name,COLM-FA249,Columbia 8-32 x 3/16 in. Set Screw (COLM-FA249)
CT03,CT03,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/13586/18526/COL-CT5_01_1__50395.1555359166.jpg,colm,COLM-CT5,Columbia Right Wafer Bushing (COLM-CT5)
CT18,CT18,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18149/27371/predator3__00505.1632254375.jpg,name,COLM-SPTAPER,Columbia Sawed-Off Predator Automatic Taper
CT24,CT24,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18149/27371/predator3__00505.1632254375.jpg,name,COLM-SPTAPER,Columbia Sawed-Off Predator Automatic Taper
CT52,CT52,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/18149/27371/predator3__00505.1632254375.jpg,name,COLM-SPTAPER,Columbia Sawed-Off Predator Automatic Taper
CT69,CT69,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12500/21598/COL-CTA-80_01_1__20739.1555359123.jpg,name,COLM-CTA80,Columbia Manual Drive Grip Assembly (Taper) (COLM-CTA80)
CT74,CT74,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/12544/23541/COL-CT84A_01_1__85929.1555359125.jpg,name,COLM-CT84A,Columbia Cable Guide Pulley (COLM-CT84A)
CT00,CT00,https://cdn11.bigcommerce.com/s-tircj30irf/images/stencil/1280x1280/products/16835/16555/COL-CT1_01_1__47219.1555359301.jpg,name,COLM-CT1,Columbia Taper Head (COLM-CT1)
