Part Identifier,Part Name,Source Dataset(s),Issue Type,Description,Suggested Action
CC-RK,Columbia Corner Cobra Maintenance Roller Wheel Replacement Kit (CC-RK),wp-catalog,Not In Parts Master,Catalog SKU 'CC-RK' (Columbia Corner Cobra Maintenance Roller Wheel Replacement Kit (CC-RK)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CR,Columbia Corner Roller (CR),wp-catalog,Not In Parts Master,Catalog SKU 'CR' (Columbia Corner Roller (CR)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
GCR &AMP; R-0001,Columbia Corner Roller with Extendable Handle (GCR &AMP; R-0001),wp-catalog,Not In Parts Master,Catalog SKU 'GCR &AMP; R-0001' (Columbia Corner Roller with Extendable Handle (GCR &AMP; R-0001)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
GCR+CH1,Columbia Corner Roller with ONE Handle (GCR+CH1),wp-catalog,Not In Parts Master,Catalog SKU 'GCR+CH1' (Columbia Corner Roller with ONE Handle (GCR+CH1)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CTA-87,Columbia Cover Plate Assembly (CTA-87),wp-catalog,Near Match In Parts Master,Catalog SKU 'CTA-87' has near-match part 'CTA87R' (Cover Plate Assembly (Quick Release) Kit) in Parts Master.,Verify if 'CTA-87' maps to Parts Master part 'CTA87R'.
CTTCT87CS,Columbia Cover Plate Cork Seal (CTTCT87CS),wp-catalog,Not In Parts Master,Catalog SKU 'CTTCT87CS' (Columbia Cover Plate Cork Seal (CTTCT87CS)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CF1B,Columbia Direct Plate - Flusher (CF1B),wp-catalog,Not In Parts Master,Catalog SKU 'CF1B' (Columbia Direct Plate - Flusher (CF1B)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
42BBH,"Columbia Drywall 42"" 180-Grip Bent Flat Box Handle (42BBH)",wp-catalog,Not In Parts Master,"Catalog SKU '42BBH' (Columbia Drywall 42"" 180-Grip Bent Flat Box Handle (42BBH)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
GTSB-KIT,"Columbia Drywall Finishing Tool Smoothing Blade / Wipe Down Knife Triple Combo Set with Handle 10"" - 14"" - 24"" (GTSB-KIT)",wp-catalog,Not In Parts Master,"Catalog SKU 'GTSB-KIT' (Columbia Drywall Finishing Tool Smoothing Blade / Wipe Down Knife Triple Combo Set with Handle 10"" - 14"" - 24"" (GTSB-KIT)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
7FFB,Columbia Drywall Taping Tools 7” Hinged Flat Finisher Box (7FFB),wp-catalog,Not In Parts Master,Catalog SKU '7FFB' (Columbia Drywall Taping Tools 7” Hinged Flat Finisher Box (7FFB)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
TACSET,Columbia Drywall Taping Tools Tactical Set (TACSET),wp-catalog,Not In Parts Master,Catalog SKU 'TACSET' (Columbia Drywall Taping Tools Tactical Set (TACSET)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB9-10,"Columbia Flat Box Blade 10"" (FFB9-10)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB9-10' (Columbia Flat Box Blade 10"" (FFB9-10)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB9-12,"Columbia Flat Box Blade 12"" (FFB9-12)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB9-12' (Columbia Flat Box Blade 12"" (FFB9-12)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB9-14,"Columbia Flat Box Blade 14"" (FFB9-14)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB9-14' (Columbia Flat Box Blade 14"" (FFB9-14)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB9-5.5,"Columbia Flat Box Blade 5.5"" (FFB9-5.5)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB9-5.5' (Columbia Flat Box Blade 5.5"" (FFB9-5.5)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB9-7,"Columbia Flat Box Blade 7"" (FFB9-7)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB9-7' (Columbia Flat Box Blade 7"" (FFB9-7)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB9-8,"Columbia Flat Box Blade 8"" (FFB9-8)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB9-8' (Columbia Flat Box Blade 8"" (FFB9-8)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB14-10,"Columbia Flat Box Door Gasket 10"" (FFB14-10)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB14-10' (Columbia Flat Box Door Gasket 10"" (FFB14-10)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
HFBB-14-1,Columbia Flat Box Door Gasket 10in Fat Boy-New Style (HFBB-14-1),wp-catalog,Not In Parts Master,Catalog SKU 'HFBB-14-1' (Columbia Flat Box Door Gasket 10in Fat Boy-New Style (HFBB-14-1)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB14-7,"Columbia Flat Box Door Gasket 7"" (FFB14-7)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB14-7' (Columbia Flat Box Door Gasket 7"" (FFB14-7)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB14-8,"Columbia Flat Box Door Gasket 8"" (FFB14-8)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB14-8' (Columbia Flat Box Door Gasket 8"" (FFB14-8)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB-7A,Columbia Flat Box Shoe (Left) - FFB7A (FFB-7A),wp-catalog,Not In Parts Master,Catalog SKU 'FFB-7A' (Columbia Flat Box Shoe (Left) - FFB7A (FFB-7A)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB-7,Columbia Flat Box Shoe (Right) - FFB7 (FFB-7),wp-catalog,Not In Parts Master,Catalog SKU 'FFB-7' (Columbia Flat Box Shoe (Right) - FFB7 (FFB-7)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB14-12,"Columbia Flat Box Std Door Gasket 12"" (FFB14-12)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB14-12' (Columbia Flat Box Std Door Gasket 12"" (FFB14-12)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
TC-1,Columbia Flusher Set Tool Case (TC-1),wp-catalog,Not In Parts Master,Catalog SKU 'TC-1' (Columbia Flusher Set Tool Case (TC-1)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
COL-FULLSEMI,Columbia Full Semi Automatic Set (COL-FULLSEMI),wp-catalog,Not In Parts Master,Catalog SKU 'COL-FULLSEMI' (Columbia Full Semi Automatic Set (COL-FULLSEMI)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
GN,Columbia Gooseneck (GN),wp-catalog,Not In Parts Master,Catalog SKU 'GN' (Columbia Gooseneck (GN)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CPFGN,Columbia Graco Powerfill Gooseneck (CPFGN),wp-catalog,Not In Parts Master,Catalog SKU 'CPFGN' (Columbia Graco Powerfill Gooseneck (CPFGN)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
HMP,Columbia Hot Mud Pump (HMP),wp-catalog,Not In Parts Master,Catalog SKU 'HMP' (Columbia Hot Mud Pump (HMP)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
HHR-1,Columbia Hydra Handle Repair Kit (HHR-1),wp-catalog,Not In Parts Master,Catalog SKU 'HHR-1' (Columbia Hydra Handle Repair Kit (HHR-1)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
ICATW,Columbia Inside 90 Applicator with Wheels (ICATW),wp-catalog,Not In Parts Master,Catalog SKU 'ICATW' (Columbia Inside 90 Applicator with Wheels (ICATW)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
IA90,Columbia Inside 90 Degree Mud Head (IA90),wp-catalog,Not In Parts Master,Catalog SKU 'IA90' (Columbia Inside 90 Degree Mud Head (IA90)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
ICA2-1,Columbia Inside Corner Applicator 2 Wheels (ICA2-1),wp-catalog,Not In Parts Master,Catalog SKU 'ICA2-1' (Columbia Inside Corner Applicator 2 Wheels (ICA2-1)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
ICA4-1,Columbia Inside Corner Applicator 4 Wheels (ICA4-1),wp-catalog,Not In Parts Master,Catalog SKU 'ICA4-1' (Columbia Inside Corner Applicator 4 Wheels (ICA4-1)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FMH,Columbia L-Trim Mud Applicator Head (FMH),wp-catalog,Not In Parts Master,Catalog SKU 'FMH' (Columbia L-Trim Mud Applicator Head (FMH)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MH,Columbia Matrix Extendable Flat Box Handle (MH),wp-catalog,Not In Parts Master,Catalog SKU 'MH' (Columbia Matrix Extendable Flat Box Handle (MH)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MH21,Columbia Matrix Grip Adjuster Housing (MH21),wp-catalog,Not In Parts Master,Catalog SKU 'MH21' (Columbia Matrix Grip Adjuster Housing (MH21)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MHL,"Columbia Matrix Long Extendable Drywall Flat Box Handle 56"" to 76"" (MHL)",wp-catalog,Not In Parts Master,"Catalog SKU 'MHL' (Columbia Matrix Long Extendable Drywall Flat Box Handle 56"" to 76"" (MHL)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MH17,Columbia Matrix Pinch Brake (MH17),wp-catalog,Not In Parts Master,Catalog SKU 'MH17' (Columbia Matrix Pinch Brake (MH17)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MH24,Columbia Matrix Pinch Brake Bushing (MH24),wp-catalog,Not In Parts Master,Catalog SKU 'MH24' (Columbia Matrix Pinch Brake Bushing (MH24)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MH25,Columbia Matrix Pinch Brake Stem (MH25),wp-catalog,Not In Parts Master,Catalog SKU 'MH25' (Columbia Matrix Pinch Brake Stem (MH25)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MP-08,Columbia Mud Pump Leg - MP8 (MP-08),wp-catalog,Not In Parts Master,Catalog SKU 'MP-08' (Columbia Mud Pump Leg - MP8 (MP-08)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MPR-1,Columbia Mud Pump Maintenacne Kit (MPR-1),wp-catalog,Not In Parts Master,Catalog SKU 'MPR-1' (Columbia Mud Pump Maintenacne Kit (MPR-1)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MP-23,Columbia Mud Pump Mud Pump Seal (MP-23),wp-catalog,Not In Parts Master,Catalog SKU 'MP-23' (Columbia Mud Pump Mud Pump Seal (MP-23)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MP-36,Columbia Mud Pump Nylatron Bushing (MP-36),wp-catalog,Not In Parts Master,Catalog SKU 'MP-36' (Columbia Mud Pump Nylatron Bushing (MP-36)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
MP-27C,Columbia Mud Pump O Ring Retainer (MP-27C),wp-catalog,Not In Parts Master,Catalog SKU 'MP-27C' (Columbia Mud Pump O Ring Retainer (MP-27C)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
HNS20,Columbia Nail Spotter Wedge for Skid Nail Spotter (HNS20),wp-catalog,Not In Parts Master,Catalog SKU 'HNS20' (Columbia Nail Spotter Wedge for Skid Nail Spotter (HNS20)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
HNSA-5-2,Columbia Nail Spotter Wheel Kit- 2in (HNSA-5-2),wp-catalog,Not In Parts Master,Catalog SKU 'HNSA-5-2' (Columbia Nail Spotter Wheel Kit- 2in (HNSA-5-2)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CFB8A,Columbia ONE Angle Box Door Adaptor #14499 (CFB8A),wp-catalog,Not In Parts Master,Catalog SKU 'CFB8A' (Columbia ONE Angle Box Door Adaptor #14499 (CFB8A)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
GC1HEXT &AMP; AHA,Columbia One Extendable Angle Head Handle 3'-5' (GC1HEXT &AMP; AHA),wp-catalog,Not In Parts Master,Catalog SKU 'GC1HEXT &AMP; AHA' (Columbia One Extendable Angle Head Handle 3'-5' (GC1HEXT &AMP; AHA)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1HEXT,Columbia One Extendable Handle 3'-5' (C1HEXT),wp-catalog,Not In Parts Master,Catalog SKU 'C1HEXT' (Columbia One Extendable Handle 3'-5' (C1HEXT)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1H,Columbia One Handle (C1H),wp-catalog,Not In Parts Master,Catalog SKU 'C1H' (Columbia One Handle (C1H)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1SPTAPER,"Columbia One Predator Taper 39"" ""Sawed Off"" (C1SPTAPER)",wp-catalog,Not In Parts Master,"Catalog SKU 'C1SPTAPER' (Columbia One Predator Taper 39"" ""Sawed Off"" (C1SPTAPER)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1PTAPER,"Columbia One Predator Taper 53"" Standard (C1PTAPER)",wp-catalog,Not In Parts Master,"Catalog SKU 'C1PTAPER' (Columbia One Predator Taper 53"" Standard (C1PTAPER)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1TBPTAPER,"Columbia One Predator Taper 77"" Tall Boy (C1TBPTAPER)",wp-catalog,Not In Parts Master,"Catalog SKU 'C1TBPTAPER' (Columbia One Predator Taper 77"" Tall Boy (C1TBPTAPER)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1PBODY,Columbia One Predator Taper Body (C1PBODY),wp-catalog,Not In Parts Master,Catalog SKU 'C1PBODY' (Columbia One Predator Taper Body (C1PBODY)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1PHEAD,Columbia One Predator Taper Head Only (C1PHEAD),wp-catalog,Not In Parts Master,Catalog SKU 'C1PHEAD' (Columbia One Predator Taper Head Only (C1PHEAD)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1SPBODY,Columbia One Sawed Off Predator Taper Body (C1SPBODY),wp-catalog,Not In Parts Master,Catalog SKU 'C1SPBODY' (Columbia One Sawed Off Predator Taper Body (C1SPBODY)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C1TBBODY,Columbia One Tall Boy Predator Taper Body (C1TBBODY),wp-catalog,Not In Parts Master,Catalog SKU 'C1TBBODY' (Columbia One Tall Boy Predator Taper Body (C1TBBODY)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CEXT90,Columbia Outside 90 Corner Applicator Head (CEXT90),wp-catalog,Not In Parts Master,Catalog SKU 'CEXT90' (Columbia Outside 90 Corner Applicator Head (CEXT90)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CBNCR,Columbia Outside Bullnose Corner Roller (CBNCR),wp-catalog,Not In Parts Master,Catalog SKU 'CBNCR' (Columbia Outside Bullnose Corner Roller (CBNCR)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
PDDM,Columbia Phantom Dustless Pole Sander (PDDM),wp-catalog,Not In Parts Master,Catalog SKU 'PDDM' (Columbia Phantom Dustless Pole Sander (PDDM)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CS,Columbia Pole Sander Head Only (CS),wp-catalog,Not In Parts Master,Catalog SKU 'CS' (Columbia Pole Sander Head Only (CS)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SPTAPER,"Columbia Predator ""Sawed Off"" Mini Carbon Fiber Automatic Taper (SPTAPER)",wp-catalog,Not In Parts Master,"Catalog SKU 'SPTAPER' (Columbia Predator ""Sawed Off"" Mini Carbon Fiber Automatic Taper (SPTAPER)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
C-PFS,Columbia Pro Extendable Finishing Set (C-PFS),wp-catalog,Not In Parts Master,Catalog SKU 'C-PFS' (Columbia Pro Extendable Finishing Set (C-PFS)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
502H-A,Columbia Pump Rebuild Kit (502H-A),wp-catalog,Not In Parts Master,Catalog SKU '502H-A' (Columbia Pump Rebuild Kit (502H-A)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-10,"Columbia Replacement 10"" Blade for Tomahawk (SB2-10)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-10' (Columbia Replacement 10"" Blade for Tomahawk (SB2-10)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-12,"Columbia Replacement 12"" Blade for Tomahawk (SB2-12)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-12' (Columbia Replacement 12"" Blade for Tomahawk (SB2-12)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
FFB14D,"Columbia Replacement 12"" Classic Flat Box Wiper Gasket (FFB14D)",wp-catalog,Not In Parts Master,"Catalog SKU 'FFB14D' (Columbia Replacement 12"" Classic Flat Box Wiper Gasket (FFB14D)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-14,"Columbia Replacement 14"" Blade for Tomahawk (SB2-14)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-14' (Columbia Replacement 14"" Blade for Tomahawk (SB2-14)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-18,"Columbia Replacement 18"" Blade for Tomahawk (SB2-18)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-18' (Columbia Replacement 18"" Blade for Tomahawk (SB2-18)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-24,"Columbia Replacement 24"" Blade for Tomahawk (SB2-24)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-24' (Columbia Replacement 24"" Blade for Tomahawk (SB2-24)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-32,"Columbia Replacement 32"" Blade for Tomahawk (SB2-32)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-32' (Columbia Replacement 32"" Blade for Tomahawk (SB2-32)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-40,"Columbia Replacement 40"" Blade for Tomahawk (SB2-40)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-40' (Columbia Replacement 40"" Blade for Tomahawk (SB2-40)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-48,"Columbia Replacement 48"" Blade for Tomahawk (SB2-48)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-48' (Columbia Replacement 48"" Blade for Tomahawk (SB2-48)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SB2-7,"Columbia Replacement 7"" Blade for Tomahawk (SB2-7)",wp-catalog,Not In Parts Master,"Catalog SKU 'SB2-7' (Columbia Replacement 7"" Blade for Tomahawk (SB2-7)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
ROADCASE,Columbia Road Case (ROADCASE),wp-catalog,Not In Parts Master,Catalog SKU 'ROADCASE' (Columbia Road Case (ROADCASE)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
CC5,Columbia Roller for Corner Cobra (CC5),wp-catalog,Not In Parts Master,Catalog SKU 'CC5' (Columbia Roller for Corner Cobra (CC5)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SBSET,Columbia Sabre Set (SBSET),wp-catalog,Not In Parts Master,Catalog SKU 'SBSET' (Columbia Sabre Set (SBSET)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB10,"Columbia Sabre Smoothing Blade 10"" (SSB10)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB10' (Columbia Sabre Smoothing Blade 10"" (SSB10)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB12,"Columbia Sabre Smoothing Blade 12"" (SSB12)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB12' (Columbia Sabre Smoothing Blade 12"" (SSB12)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB14,"Columbia Sabre Smoothing Blade 14"" (SSB14)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB14' (Columbia Sabre Smoothing Blade 14"" (SSB14)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB16,"Columbia Sabre Smoothing Blade 16"" (SSB16)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB16' (Columbia Sabre Smoothing Blade 16"" (SSB16)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB18,"Columbia Sabre Smoothing Blade 18"" (SSB18)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB18' (Columbia Sabre Smoothing Blade 18"" (SSB18)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB24,"Columbia Sabre Smoothing Blade 24"" (SSB24)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB24' (Columbia Sabre Smoothing Blade 24"" (SSB24)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB32,"Columbia Sabre Smoothing Blade 32"" (SSB32)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB32' (Columbia Sabre Smoothing Blade 32"" (SSB32)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB40,"Columbia Sabre Smoothing Blade 40"" (SSB40)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB40' (Columbia Sabre Smoothing Blade 40"" (SSB40)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB48,"Columbia Sabre Smoothing Blade 48"" (SSB48)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB48' (Columbia Sabre Smoothing Blade 48"" (SSB48)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SSB7,"Columbia Sabre Smoothing Blade 7"" (SSB7)",wp-catalog,Not In Parts Master,"Catalog SKU 'SSB7' (Columbia Sabre Smoothing Blade 7"" (SSB7)) has no corresponding entry in Columbia Parts Master CSV.",Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SAT,Columbia Semi Auto Taper Drywall Taping Tool (SAT),wp-catalog,Not In Parts Master,Catalog SKU 'SAT' (Columbia Semi Auto Taper Drywall Taping Tool (SAT)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
SACS,Columbia Semi Automatic Commando Set (SACS),wp-catalog,Not In Parts Master,Catalog SKU 'SACS' (Columbia Semi Automatic Commando Set (SACS)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
COLSEMI,Columbia Semi-Automatic Starter Set (COLSEMI),wp-catalog,Not In Parts Master,Catalog SKU 'COLSEMI' (Columbia Semi-Automatic Starter Set (COLSEMI)) has no corresponding entry in Columbia Parts Master CSV.,Verify if this part has a Columbia part number; add to Parts Master or mark as catalog-only item.
